,caseID,DateTime,taskID,originator,eventtype,ArrangeSurvey,FirstContact,ImmediateRepair,InformClientSurvey,InformClientWrongPlace,InternRepair,MakeTicket,ReadyInformClient,RepairReady,SendTicketToFinAdmin,Survey,TicketReady
6447,8,2020-01-14 08:31:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
11972,8,2020-01-14 08:31:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
524,8,2021-06-13 04:14:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
10305,9,2020-01-03 19:08:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
4008,9,2020-01-03 19:13:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
10054,9,2020-01-03 19:15:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
10499,9,2020-01-03 19:15:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
4307,9,2020-01-03 21:25:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
4178,9,2020-01-03 23:37:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
8291,9,2020-01-03 23:37:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
4578,9,2020-01-04 02:39:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
4241,9,2020-01-04 04:31:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
12095,9,2020-01-04 04:31:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
12602,10,2020-01-08 04:19:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
967,10,2020-01-08 04:25:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
9235,10,2020-01-08 20:45:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
10971,10,2020-01-08 20:45:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
7907,10,2020-01-11 05:09:00,Survey,Jacky,complete,0,0,0,0,0,0,0,0,0,0,1,0
9560,10,2020-01-11 07:09:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
5000,10,2020-01-11 10:46:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
1398,10,2020-01-11 10:53:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
2238,10,2020-01-11 10:53:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
489,10,2021-05-09 07:09:00,ImmediateRepair,Jacky,complete,0,0,1,0,0,0,0,0,0,0,0,0
1359,11,2020-01-07 06:48:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
12618,11,2020-01-07 06:53:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
9578,11,2020-01-07 06:58:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
11540,11,2020-01-07 13:22:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
9384,11,2020-01-07 15:22:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
11249,11,2020-01-07 15:22:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
3377,11,2020-01-07 20:03:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
4586,11,2020-01-07 20:59:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
10258,11,2020-01-07 20:59:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
96,11,2020-04-11 06:58:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
6073,12,2020-01-02 18:15:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
4217,12,2020-01-02 18:21:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
12208,12,2020-01-02 18:24:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
5440,12,2020-01-05 21:41:00,Survey,Edd,complete,0,0,0,0,0,0,0,0,0,0,1,0
9109,12,2020-01-08 09:13:00,InternRepair,Paul,complete,0,0,0,0,0,1,0,0,0,0,0,0
7076,12,2020-01-08 22:10:00,InternRepair,Cindy,complete,0,0,0,0,0,1,0,0,0,0,0,0
13197,12,2020-01-08 22:10:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
8948,12,2020-01-09 01:00:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
3060,12,2020-01-09 05:16:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
3918,12,2020-01-09 05:16:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
512,12,2021-06-01 18:24:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
1325,13,2020-01-02 12:22:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
2137,13,2020-01-02 12:22:00,InformClientWrongPlace,Monica,complete,0,0,0,0,1,0,0,0,0,0,0,0
5975,14,2020-01-04 00:25:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
6953,14,2020-01-04 00:31:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
11296,14,2020-01-04 00:31:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
1280,14,2020-01-04 00:33:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
6954,14,2020-01-04 00:33:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
12694,14,2020-01-06 12:33:00,Survey,Jacky,complete,0,0,0,0,0,0,0,0,0,0,1,0
5275,14,2020-01-06 14:33:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
1831,14,2020-01-06 14:44:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
6977,14,2020-01-06 20:11:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
12132,14,2020-01-06 20:11:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
565,14,2021-07-24 14:33:00,ImmediateRepair,Jacky,complete,0,0,1,0,0,0,0,0,0,0,0,0
1950,15,2020-01-05 09:21:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
2479,15,2020-01-05 09:23:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
3612,15,2020-01-05 09:26:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
7785,15,2020-01-05 09:26:00,Survey,System,complete,0,0,0,0,0,0,0,0,0,0,1,0
6263,15,2020-01-06 06:24:00,Survey,Barbara,complete,0,0,0,0,0,0,0,0,0,0,1,0
4764,15,2020-01-06 08:12:00,ImmediateRepair,Barbara,complete,0,0,1,0,0,0,0,0,0,0,0,0
7243,15,2020-01-06 10:00:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
10668,15,2020-01-06 16:13:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
4709,15,2020-01-06 16:23:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
12085,15,2020-01-06 16:23:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
12846,16,2020-01-08 03:54:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
9039,16,2020-01-08 03:57:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
5803,16,2020-01-08 14:50:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
5597,16,2020-01-12 00:15:00,Survey,Jacky,complete,0,0,0,0,0,0,0,0,0,0,1,0
2821,16,2020-01-12 02:15:00,ImmediateRepair,Jacky,complete,0,0,1,0,0,0,0,0,0,0,0,0
3015,16,2020-01-12 02:15:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
7080,16,2020-01-12 04:27:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
5472,16,2020-01-12 05:16:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
10600,16,2020-01-12 05:16:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
295,16,2020-10-27 14:50:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
7231,17,2020-01-03 22:25:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
11697,17,2020-01-03 22:30:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
1230,17,2020-01-03 22:35:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
4782,17,2020-01-03 22:35:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
10853,17,2020-01-03 23:04:00,Survey,Eric,complete,0,0,0,0,0,0,0,0,0,0,1,0
7860,17,2020-01-04 07:04:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
12578,17,2020-01-04 08:45:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
2992,17,2020-01-04 09:21:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
631,17,2021-09-28 09:21:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
6624,18,2020-01-08 06:17:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
4425,18,2020-01-08 06:21:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
1299,18,2020-01-08 06:26:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
7020,18,2020-01-08 06:26:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
11029,18,2020-01-12 07:12:00,Survey,Edd,complete,0,0,0,0,0,0,0,0,0,0,1,0
2571,18,2020-01-14 03:12:00,InternRepair,Cindy,complete,0,0,0,0,0,1,0,0,0,0,0,0
2307,18,2020-01-14 07:12:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
8271,18,2020-01-14 10:58:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
7464,18,2020-01-14 11:32:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
839,18,2022-04-24 11:32:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
1401,19,2020-01-07 01:44:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
12948,19,2020-01-07 01:47:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
4180,19,2020-01-07 04:30:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
13046,19,2020-01-07 04:30:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
11225,19,2020-01-13 23:36:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
12568,19,2020-01-13 23:36:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
9938,19,2020-01-14 04:44:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
1867,19,2020-01-14 06:40:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
11136,19,2020-01-14 06:40:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
713,19,2021-12-19 21:24:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
5958,20,2020-01-07 18:57:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
10504,20,2020-01-07 19:03:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
3454,20,2020-01-07 19:07:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
11011,20,2020-01-07 19:07:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
10376,20,2020-01-12 06:48:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
3734,20,2020-01-12 10:48:00,InternRepair,Anne,complete,0,0,0,0,0,1,0,0,0,0,0,0
6791,20,2020-01-12 10:48:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
9502,20,2020-01-12 13:56:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
2602,20,2020-01-12 14:52:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
3405,20,2020-01-12 14:52:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
5667,21,2020-01-03 10:41:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
10430,21,2020-01-03 10:43:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
7110,21,2020-01-03 10:48:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
7430,21,2020-01-03 10:48:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
7803,21,2020-01-04 01:48:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
2171,21,2020-01-04 03:36:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
5102,21,2020-01-04 03:36:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
9398,21,2020-01-04 10:30:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
12854,21,2020-01-04 10:30:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
563,21,2021-07-22 06:17:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
8692,22,2020-01-07 10:25:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
10225,22,2020-01-07 10:31:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
3115,22,2020-01-07 14:57:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
9401,22,2020-01-07 14:57:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
8759,22,2020-01-07 18:57:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
8613,22,2020-01-08 00:57:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
13070,22,2020-01-08 05:47:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
5050,22,2020-01-08 08:18:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
6806,22,2020-01-08 08:18:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
4150,23,2020-01-03 10:48:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
3208,23,2020-01-03 10:53:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
5416,23,2020-01-03 10:56:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
6969,23,2020-01-03 11:18:00,Survey,Nick,complete,0,0,0,0,0,0,0,0,0,0,1,0
7064,23,2020-01-03 12:12:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
11754,23,2020-01-03 12:12:00,ImmediateRepair,Nick,complete,0,0,1,0,0,0,0,0,0,0,0,0
9143,23,2020-01-03 12:40:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
2002,23,2020-01-03 15:07:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
8435,23,2020-01-03 15:07:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
322,23,2020-11-23 10:56:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
2050,24,2020-01-07 05:43:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
1047,24,2020-01-07 05:46:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
4255,24,2020-01-07 14:28:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
12433,24,2020-01-07 14:28:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
12388,24,2020-01-12 12:36:00,Survey,Cindy,complete,0,0,0,0,0,0,0,0,0,0,1,0
3853,24,2020-01-15 14:52:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
5766,24,2020-01-15 14:52:00,InternRepair,Cindy,complete,0,0,0,0,0,1,0,0,0,0,0,0
2924,24,2020-01-15 19:33:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
7214,24,2020-01-15 22:47:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
12921,24,2020-01-15 22:47:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
8394,25,2020-01-02 07:46:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
9806,25,2020-01-02 07:48:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
8943,25,2020-01-02 07:53:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
12998,25,2020-01-02 21:28:00,Survey,Jacky,complete,0,0,0,0,0,0,0,0,0,0,1,0
5800,25,2020-01-02 23:28:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
9611,25,2020-01-02 23:28:00,ImmediateRepair,Jacky,complete,0,0,1,0,0,0,0,0,0,0,0,0
6776,25,2020-01-03 04:54:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
4364,25,2020-01-03 05:37:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
6045,25,2020-01-03 05:37:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
44,25,2020-02-19 07:53:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
7578,26,2020-01-01 14:36:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
4276,26,2020-01-01 14:38:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
3157,26,2020-01-03 03:07:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
4609,26,2020-01-03 03:07:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
7370,26,2020-01-06 23:44:00,Survey,John,complete,0,0,0,0,0,0,0,0,0,0,1,0
8651,26,2020-01-07 03:20:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
7103,26,2020-01-07 06:59:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
3256,26,2020-01-07 10:55:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
5226,26,2020-01-07 10:55:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
531,26,2021-06-20 03:20:00,InternRepair,John,complete,0,0,0,0,0,1,0,0,0,0,0,0
2226,27,2020-01-06 01:33:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
6668,27,2020-01-06 01:37:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
1853,27,2020-01-06 01:42:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
5346,27,2020-01-06 01:42:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
12624,27,2020-01-09 02:20:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
8626,27,2020-01-09 04:08:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
8834,27,2020-01-09 07:28:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
3421,27,2020-01-09 10:32:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
4644,27,2020-01-09 10:32:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
357,27,2020-12-28 04:08:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
10764,28,2020-01-04 17:48:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
