,caseID,taskID,originator,eventtype,date,time
445,873,ArrangeSurvey,Monica,complete,2021-03-26,15:02
446,94,RepairReady,System,complete,2021-03-27,9:50
447,367,ReadyInformClient,System,complete,2021-03-28,22:17
448,917,FirstContact,Dian,complete,2021-03-29,23:10
449,889,MakeTicket,Dian,complete,2021-03-30,1:28
450,900,MakeTicket,Monica,complete,2021-03-31,21:57
451,850,MakeTicket,Dian,complete,2021-04-01,19:35
452,968,FirstContact,Monica,complete,2021-04-02,10:53
453,139,MakeTicket,Dian,complete,2021-04-03,7:39
454,933,RepairReady,System,complete,2021-04-04,4:54
455,728,InformClientSurvey,System,complete,2021-04-05,2:02
456,407,MakeTicket,Dian,complete,2021-04-06,9:05
457,133,SendTicketToFinAdmin,System,complete,2021-04-07,0:22
458,98,InternRepair,Lex,complete,2021-04-08,8:39
459,365,InternRepair,Paul,complete,2021-04-09,21:37
461,570,RepairReady,System,complete,2021-04-11,22:10
463,582,TicketReady,System,complete,2021-04-13,16:45
465,884,TicketReady,System,complete,2021-04-15,7:51
466,616,RepairReady,System,complete,2021-04-16,9:17
467,63,ArrangeSurvey,Monica,complete,2021-04-17,20:28
468,565,Survey,Anne,complete,2021-04-18,9:02
469,506,MakeTicket,Monica,complete,2021-04-19,19:27
471,153,InternRepair,Anne,complete,2021-04-21,7:43
474,84,RepairReady,System,complete,2021-04-24,22:05
475,826,Survey,Anne,complete,2021-04-25,20:28
478,655,InformClientSurvey,System,complete,2021-04-28,14:30
479,915,RepairReady,System,complete,2021-04-29,7:04
481,530,InformClientSurvey,System,complete,2021-05-01,10:34
482,532,ArrangeSurvey,Monica,complete,2021-05-02,3:16
485,796,InformClientSurvey,System,complete,2021-05-05,20:23
487,483,MakeTicket,Dian,complete,2021-05-07,5:00
488,108,TicketReady,System,complete,2021-05-08,0:33
489,10,ImmediateRepair,Jacky,complete,2021-05-09,7:09
490,861,InformClientSurvey,System,complete,2021-05-10,18:02
492,175,RepairReady,System,complete,2021-05-12,9:48
495,2,RepairReady,System,complete,2021-05-15,8:57
496,887,SendTicketToFinAdmin,System,complete,2021-05-16,21:28
497,314,MakeTicket,Dian,complete,2021-05-17,11:59
498,348,ImmediateRepair,Barbara,complete,2021-05-18,19:18
499,849,SendTicketToFinAdmin,System,complete,2021-05-19,3:43
500,93,Survey,Cindy,complete,2021-05-20,12:38
502,193,RepairReady,System,complete,2021-05-22,22:34
503,459,Survey,Edd,complete,2021-05-23,6:57
506,96,RepairReady,System,complete,2021-05-26,7:22
507,454,MakeTicket,Dian,complete,2021-05-27,20:02
509,664,ArrangeSurvey,Monica,complete,2021-05-29,6:05
510,844,MakeTicket,Monica,complete,2021-05-30,17:43
511,708,TicketReady,System,complete,2021-05-31,18:57
512,12,InformClientSurvey,System,complete,2021-06-01,18:24
514,449,MakeTicket,Monica,complete,2021-06-03,15:30
515,226,InformClientSurvey,System,complete,2021-06-04,3:04
516,96,SendTicketToFinAdmin,System,complete,2021-06-05,10:44
517,521,InternRepair,Cindy,complete,2021-06-06,14:23
518,439,ReadyInformClient,System,complete,2021-06-07,13:41
519,506,SendTicketToFinAdmin,System,complete,2021-06-08,12:15
522,607,TicketReady,System,complete,2021-06-11,5:04
523,627,ReadyInformClient,System,complete,2021-06-12,18:45
524,8,RepairReady,System,complete,2021-06-13,4:14
525,101,InternRepair,Nick,complete,2021-06-14,10:45
526,332,ReadyInformClient,System,complete,2021-06-15,21:50
528,475,ImmediateRepair,Anne,complete,2021-06-17,6:57
529,57,InternRepair,Edd,complete,2021-06-18,3:31
530,174,InformClientSurvey,System,complete,2021-06-19,16:26
531,26,InternRepair,John,complete,2021-06-20,3:20
532,705,InformClientWrongPlace,Monica,complete,2021-06-21,23:33
533,863,Survey,Anne,complete,2021-06-22,14:17
534,435,FirstContact,Dian,complete,2021-06-23,1:50
536,154,ReadyInformClient,System,complete,2021-06-25,5:19
538,680,ReadyInformClient,System,complete,2021-06-27,20:31
539,209,FirstContact,Dian,complete,2021-06-28,21:16
540,284,RepairReady,System,complete,2021-06-29,21:09
541,859,SendTicketToFinAdmin,System,complete,2021-06-30,6:56
542,423,ReadyInformClient,System,complete,2021-07-01,23:28
543,673,ReadyInformClient,System,complete,2021-07-02,14:27
544,53,ArrangeSurvey,Dian,complete,2021-07-03,18:28
545,975,InformClientSurvey,System,complete,2021-07-04,7:54
546,392,FirstContact,Monica,complete,2021-07-05,9:30
547,286,SendTicketToFinAdmin,System,complete,2021-07-06,5:06
549,173,InformClientSurvey,System,complete,2021-07-08,19:48
550,877,InformClientSurvey,System,complete,2021-07-09,1:25
554,740,SendTicketToFinAdmin,System,complete,2021-07-13,13:19
556,255,Survey,Jacky,complete,2021-07-15,8:19
558,907,InternRepair,Edd,complete,2021-07-17,0:47
560,216,RepairReady,System,complete,2021-07-19,8:45
562,331,MakeTicket,Monica,complete,2021-07-21,4:15
563,21,SendTicketToFinAdmin,System,complete,2021-07-22,6:17
564,621,SendTicketToFinAdmin,System,complete,2021-07-23,2:37
565,14,ImmediateRepair,Jacky,complete,2021-07-24,14:33
566,545,ImmediateRepair,Anne,complete,2021-07-25,7:28
567,328,MakeTicket,Monica,complete,2021-07-26,6:08
568,52,MakeTicket,Dian,complete,2021-07-27,20:49
569,339,FirstContact,Dian,complete,2021-07-28,19:44
570,132,SendTicketToFinAdmin,System,complete,2021-07-29,7:10
571,500,InformClientSurvey,System,complete,2021-07-30,14:21
572,618,MakeTicket,Dian,complete,2021-07-31,0:18
573,790,RepairReady,System,complete,2021-08-01,23:42
574,991,ImmediateRepair,Anne,complete,2021-08-02,4:19
575,891,FirstContact,Dian,complete,2021-08-03,23:21
576,184,ArrangeSurvey,Dian,complete,2021-08-04,2:15
577,919,TicketReady,System,complete,2021-08-05,0:20
578,698,InformClientSurvey,System,complete,2021-08-06,18:38
579,187,RepairReady,System,complete,2021-08-07,6:27
580,415,ReadyInformClient,System,complete,2021-08-08,16:45
582,342,Survey,Anne,complete,2021-08-10,7:49
583,668,MakeTicket,Dian,complete,2021-08-11,11:10
585,972,ReadyInformClient,System,complete,2021-08-13,8:41
586,688,InformClientSurvey,System,complete,2021-08-14,19:43
587,346,ReadyInformClient,System,complete,2021-08-15,5:08
589,142,InternRepair,John,complete,2021-08-17,21:16
591,139,SendTicketToFinAdmin,System,complete,2021-08-19,18:32
593,991,MakeTicket,Monica,complete,2021-08-21,22:31
594,35,RepairReady,System,complete,2021-08-22,22:05
595,660,SendTicketToFinAdmin,System,complete,2021-08-23,11:46
596,717,SendTicketToFinAdmin,System,complete,2021-08-24,16:58
597,700,InformClientSurvey,System,complete,2021-08-25,17:34
598,538,Survey,Anne,complete,2021-08-26,4:09
599,387,TicketReady,System,complete,2021-08-27,21:03
602,935,InternRepair,John,complete,2021-08-30,1:59
604,111,MakeTicket,Dian,complete,2021-09-01,19:36
605,433,Survey,Barbara,complete,2021-09-02,3:34
606,555,MakeTicket,Monica,complete,2021-09-03,10:35
608,526,RepairReady,System,complete,2021-09-05,0:10
610,345,MakeTicket,Monica,complete,2021-09-07,1:39
611,230,InformClientWrongPlace,Monica,complete,2021-09-08,1:04
612,596,InformClientSurvey,System,complete,2021-09-09,22:30
616,862,MakeTicket,Dian,complete,2021-09-13,13:21
618,614,FirstContact,Monica,complete,2021-09-15,3:20
621,604,ArrangeSurvey,Dian,complete,2021-09-18,1:21
622,940,InternRepair,Edd,complete,2021-09-19,6:32
624,813,Survey,Edd,complete,2021-09-21,22:54
628,56,Survey,Cindy,complete,2021-09-25,23:11
631,17,SendTicketToFinAdmin,System,complete,2021-09-28,9:21
633,381,ArrangeSurvey,Monica,complete,2021-09-30,18:15
635,601,ReadyInformClient,System,complete,2021-10-02,8:43
636,714,Survey,Cindy,complete,2021-10-03,21:33
637,70,RepairReady,System,complete,2021-10-04,2:58
638,916,ImmediateRepair,Anne,complete,2021-10-05,17:03
639,410,MakeTicket,Monica,complete,2021-10-06,11:41
641,945,SendTicketToFinAdmin,System,complete,2021-10-08,20:21
642,429,RepairReady,System,complete,2021-10-09,8:35
643,670,Survey,John,complete,2021-10-10,8:46
644,411,ImmediateRepair,Jacky,complete,2021-10-11,15:03
645,298,RepairReady,System,complete,2021-10-12,6:31
646,872,RepairReady,System,complete,2021-10-13,18:01
647,666,SendTicketToFinAdmin,System,complete,2021-10-14,22:55
648,202,SendTicketToFinAdmin,System,complete,2021-10-15,16:59
649,509,FirstContact,Monica,complete,2021-10-16,15:25
650,429,TicketReady,System,complete,2021-10-17,15:23
652,801,ArrangeSurvey,Monica,complete,2021-10-19,10:44
653,323,Survey,Nick,complete,2021-10-20,19:01
658,998,MakeTicket,Dian,complete,2021-10-25,1:45
659,284,InternRepair,Cindy,complete,2021-10-26,21:09
661,927,TicketReady,System,complete,2021-10-28,4:20
662,983,TicketReady,System,complete,2021-10-29,16:16
663,488,RepairReady,System,complete,2021-10-30,17:00
664,330,RepairReady,System,complete,2021-10-31,18:05
665,344,TicketReady,System,complete,2021-11-01,14:38
668,228,Survey,Cindy,complete,2021-11-04,16:15
670,759,ArrangeSurvey,Monica,complete,2021-11-06,22:11
671,351,Survey,Anne,complete,2021-11-07,12:57
672,699,FirstContact,Dian,complete,2021-11-08,13:09
673,218,InformClientSurvey,System,complete,2021-11-09,12:45
674,924,Survey,Jacky,complete,2021-11-10,3:07
675,95,SendTicketToFinAdmin,System,complete,2021-11-11,7:29
676,162,InformClientSurvey,System,complete,2021-11-12,4:42
677,831,FirstContact,Monica,complete,2021-11-13,21:43
678,531,FirstContact,Dian,complete,2021-11-14,1:17
680,136,MakeTicket,Monica,complete,2021-11-16,19:41
681,840,ArrangeSurvey,Dian,complete,2021-11-17,4:24
682,97,Survey,Paul,complete,2021-11-18,17:55
683,369,ArrangeSurvey,Dian,complete,2021-11-19,21:35
684,141,TicketReady,System,complete,2021-11-20,3:33
685,549,ArrangeSurvey,Monica,complete,2021-11-21,17:56
